Ghana;gt31,072,940;gt2.15 %;gt655,084;gt137;gt227,540;gt-10,000;gt3.9;gt22;gt57 %;gt0.40 %
Yemen;gt29,825,964;gt2.28 %;gt664,042;gt56;gt527,970;gt-30,000;gt3.8;gt20;gt38 %;gt0.38 %
Nepal;gt29,136,808;gt1.85 %;gt528,098;gt203;gt143,350;gt41,710;gt1.9;gt25;gt21 %;gt0.37 %
Venezuela;gt28,435,940;gt-0.28 %;gt-79,889;gt32;gt882,050;gt-653,249;gt2.3;gt30;gtN.A.;gt0.36 %
Madagascar;gt27,691,018;gt2.68 %;gt721,711;gt48;gt581,795;gt-1,500;gt4.1;gt20;gt39 %;gt0.36 %
Cameroon;gt26,545,863;gt2.59 %;gt669,483;gt56;gt472,710;gt-4,800;gt4.6;gt19;gt56 %;gt0.34 %
Côte d'Ivoire;gt26,378,274;gt2.57 %;gt661,730;gt83;gt318,000;gt-8,000;gt4.7;gt19;gt51 %;gt0.34 %
North Korea;gt25,778,816;gt0.44 %;gt112,655;gt214;gt120,410;gt-5,403;gt1.9;gt35;gt63 %;gt0.33 %
Australia;gt25,499,884;gt1.18 %;gt296,686;gt3;gt7,682,300;gt158,246;gt1.8;gt38;gt86 %;gt0.33 %
Niger;gt24,206,644;gt3.84 %;gt895,929;gt19;gt1,266,700;gt4,000;gt7.0;gt15;gt17 %;gt0.31 %
Taiwan;gt23,816,775;gt0.18 %;gt42,899;gt673;gt35,410;gt30,001;gt1.2;gt42;gt79 %;gt0.31 %
Sri Lanka;gt21,413,249;gt0.42 %;gt89,516;gt341;gt62,710;gt-97,986;gt2.2;gt34;gt18 %;gt0.27 %
Burkina Faso;gt20,903,273;gt2.86 %;gt581,895;gt76;gt273,600;gt-25,000;gt5.2;gt18;gt31 %;gt0.27 %
Mali;gt20,250,833;gt3.02 %;gt592,802;gt17;gt1,220,190;gt-40,000;gt5.9;gt16;gt44 %;gt0.26 %
Romania;gt19,237,691;gt-0.66 %;gt-126,866;gt84;gt230,170;gt-73,999;gt1.6;gt43;gt55 %;gt0.25 %
Malawi;gt19,129,952;gt2.69 %;gt501,205;gt203;gt94,280;gt-16,053;gt4.3;gt18;gt18 %;gt0.25 %
Chile;gt19,116,201;gt0.87 %;gt164,163;gt26;gt743,532;gt111,708;gt1.7;gt35;gt85 %;gt0.25 %
Kazakhstan;gt18,776,707;gt1.21 %;gt225,280;gt7;gt2,699,700;gt-18,000;gt2.8;gt31;gt58 %;gt0.24 %
Zambia;gt18,383,955;gt2.93 %;gt522,925;gt25;gt743,390;gt-8,000;gt4.7;gt18;gt45 %;gt0.24 %
Guatemala;gt17,915,568;gt1.90 %;gt334,096;gt167;gt107,160;gt-9,215;gt2.9;gt23;gt52 %;gt0.23 %
Ecuador;gt17,643,054;gt1.55 %;gt269,392;gt71;gt248,360;gt36,400;gt2.4;gt28;gt63 %;gt0.23 %
Syria;gt17,500,658;gt2.52 %;gt430,523;gt95;gt183,630;gt-427,391;gt2.8;gt26;gt60 %;gt0.22 %
Netherlands;gt17,134,872;gt0.22 %;gt37,742;gt508;gt33,720;gt16,000;gt1.7;gt43;gt92 %;gt0.22 %
Senegal;gt16,743,927;gt2.75 %;gt447,563;gt87;gt192,530;gt-20,000;gt4.7;gt19;gt49 %;gt0.21 %
Cambodia;gt16,718,965;gt1.41 %;gt232,423;gt95;gt176,520;gt-30,000;gt2.5;gt26;gt24 %;gt0.21 %
Chad;gt16,425,864;gt3.00 %;gt478,988;gt13;gt1,259,200;gt2,000;gt5.8;gt17;gt23 %;gt0.21 %
Somalia;gt15,893,222;gt2.92 %;gt450,317;gt25;gt627,340;gt-40,000;gt6.1;gt17;gt47 %;gt0.20 %
Zimbabwe;gt14,862,924;gt1.48 %;gt217,456;gt38;gt386,850;gt-116,858;gt3.6;gt19;gt38 %;gt0.19 %
